classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
266617263,ebellm,1649740,3c54eec8ba2e4f6ca4d5,15938,Scan Dippers,5.7,2020-08-06 21:21:21 UTC,,,"{""source"":""api"",""session"":""f19869eadb36ed18f90bc7afa27e886a0369d25f8f9b390b72cd3356e25c6856"",""viewport"":{""width"":1327,""height"":803},""started_at"":""2020-08-06T21:21:15.431Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:78.0) Gecko/20100101 Firefox/78.0"",""utc_offset"":""25200"",""finished_at"":""2020-08-06T21:21:21.615Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":576,""clientHeight"":432,""naturalWidth"":576,""naturalHeight"":432}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-08-06T21:21:15.249Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""36174""}","[{""task"":""T0"",""task_label"":""Does this look like a skewed dip?"",""value"":""No""}]","{""48808208"":{""retired"":null,""ps1_id"":90122951491844811}}",48808208
266617278,ebellm,1649740,3c54eec8ba2e4f6ca4d5,15938,Scan Dippers,5.7,2020-08-06 21:21:26 UTC,,,"{""source"":""api"",""session"":""f19869eadb36ed18f90bc7afa27e886a0369d25f8f9b390b72cd3356e25c6856"",""viewport"":{""width"":1327,""height"":803},""started_at"":""2020-08-06T21:21:23.597Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:78.0) Gecko/20100101 Firefox/78.0"",""utc_offset"":""25200"",""finished_at"":""2020-08-06T21:21:26.449Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":576,""clientHeight"":432,""naturalWidth"":576,""naturalHeight"":432}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-08-06T21:21:15.249Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""36174""}","[{""task"":""T0"",""task_label"":""Does this look like a skewed dip?"",""value"":""No""}]","{""48808652"":{""retired"":null,""ps1_id"":140201567670691358}}",48808652
266617290,ebellm,1649740,3c54eec8ba2e4f6ca4d5,15938,Scan Dippers,5.7,2020-08-06 21:21:30 UTC,,,"{""source"":""api"",""session"":""f19869eadb36ed18f90bc7afa27e886a0369d25f8f9b390b72cd3356e25c6856"",""viewport"":{""width"":1327,""height"":803},""started_at"":""2020-08-06T21:21:27.398Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:78.0) Gecko/20100101 Firefox/78.0"",""utc_offset"":""25200"",""finished_at"":""2020-08-06T21:21:30.029Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":576,""clientHeight"":432,""naturalWidth"":576,""naturalHeight"":432}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-08-06T21:21:15.249Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""36174""}","[{""task"":""T0"",""task_label"":""Does this look like a skewed dip?"",""value"":""No""}]","{""48808343"":{""retired"":null,""ps1_id"":163140505913029915}}",48808343
266619181,ebellm,1649740,3c54eec8ba2e4f6ca4d5,15938,Scan Dippers,5.7,2020-08-06 21:28:55 UTC,,,"{""source"":""api"",""session"":""2c287e1b6ae12709ea27db74a7003205f8b8ee629bee8a7718a71919d79a7c1f"",""viewport"":{""width"":1327,""height"":803},""started_at"":""2020-08-06T21:22:47.777Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:78.0) Gecko/20100101 Firefox/78.0"",""utc_offset"":""25200"",""finished_at"":""2020-08-06T21:28:55.581Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":576,""clientHeight"":432,""naturalWidth"":576,""naturalHeight"":432}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-08-06T21:22:47.666Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""36174""}","[{""task"":""T0"",""task_label"":""Does this look like a skewed dip?"",""value"":""No""}]","{""48808057"":{""retired"":null,""ps1_id"":161180493947015997}}",48808057
266619215,ebellm,1649740,3c54eec8ba2e4f6ca4d5,15938,Scan Dippers,5.7,2020-08-06 21:29:02 UTC,,,"{""source"":""api"",""session"":""2c287e1b6ae12709ea27db74a7003205f8b8ee629bee8a7718a71919d79a7c1f"",""viewport"":{""width"":1327,""height"":803},""started_at"":""2020-08-06T21:28:57.100Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:78.0) Gecko/20100101 Firefox/78.0"",""utc_offset"":""25200"",""finished_at"":""2020-08-06T21:29:02.258Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":576,""clientHeight"":432,""naturalWidth"":576,""naturalHeight"":432}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-08-06T21:22:47.666Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""36174""}","[{""task"":""T0"",""task_label"":""Does this look like a skewed dip?"",""value"":""Yes""}]","{""48807638"":{""retired"":null,""ps1_id"":162381422889566623}}",48807638
266641627,kboone,536114,3c54eec8ba2e4f6ca4d5,15938,Scan Dippers,18.19,2020-08-06 23:23:56 UTC,,,"{""source"":""api"",""session"":""50411e57d6a3164838e23120bb9b540420717f33966faa15e01fa31d24325d4d"",""viewport"":{""width"":2845,""height"":1470},""started_at"":""2020-08-06T23:23:49.313Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2020-08-06T23:23:56.477Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":576,""clientHeight"":432,""naturalWidth"":576,""naturalHeight"":432}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-08-06T23:23:49.207Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""36174""}","[{""task"":""T0"",""task_label"":""Does this look like a skewed dip?"",""value"":""No""}]","{""48808198"":{""retired"":null,""ps1_id"":169212911981282794}}",48808198
266641653,kboone,536114,3c54eec8ba2e4f6ca4d5,15938,Scan Dippers,18.19,2020-08-06 23:24:02 UTC,,,"{""source"":""api"",""session"":""50411e57d6a3164838e23120bb9b540420717f33966faa15e01fa31d24325d4d"",""viewport"":{""width"":2845,""height"":1470},""started_at"":""2020-08-06T23:23:58.272Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2020-08-06T23:24:01.888Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":576,""clientHeight"":432,""naturalWidth"":576,""naturalHeight"":432}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-08-06T23:23:49.207Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""36174""}","[{""task"":""T0"",""task_label"":""Does this look like a skewed dip?"",""value"":""No""}]","{""48808278"":{""retired"":null,""ps1_id"":160640109142245125}}",48808278
266641664,kboone,536114,3c54eec8ba2e4f6ca4d5,15938,Scan Dippers,18.19,2020-08-06 23:24:05 UTC,,,"{""source"":""api"",""session"":""50411e57d6a3164838e23120bb9b540420717f33966faa15e01fa31d24325d4d"",""viewport"":{""width"":2845,""height"":1470},""started_at"":""2020-08-06T23:24:02.576Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2020-08-06T23:24:04.635Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":576,""clientHeight"":432,""naturalWidth"":576,""naturalHeight"":432}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-08-06T23:23:49.207Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""36174""}","[{""task"":""T0"",""task_label"":""Does this look like a skewed dip?"",""value"":""No""}]","{""48807938"":{""retired"":null,""ps1_id"":107372884879104959}}",48807938
266641702,kboone,536114,3c54eec8ba2e4f6ca4d5,15938,Scan Dippers,18.19,2020-08-06 23:24:12 UTC,,,"{""source"":""api"",""session"":""50411e57d6a3164838e23120bb9b540420717f33966faa15e01fa31d24325d4d"",""viewport"":{""width"":2845,""height"":1470},""started_at"":""2020-08-06T23:24:05.381Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2020-08-06T23:24:11.974Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":576,""clientHeight"":432,""naturalWidth"":576,""naturalHeight"":432}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-08-06T23:23:49.207Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""36174""}","[{""task"":""T0"",""task_label"":""Does this look like a skewed dip?"",""value"":""Yes""},{""task"":""T1"",""task_label"":""It is well-sampled?"",""value"":""Yes""}]","{""48808554"":{""retired"":null,""ps1_id"":144232991903816820}}",48808554
266647197,ebellm,1649740,3c54eec8ba2e4f6ca4d5,15938,Scan Dippers,18.19,2020-08-06 23:47:46 UTC,,,"{""source"":""api"",""session"":""32c04f67cbd1a49bb4b599ba84ddf1f256a7e65538e7e769aab2cc2735c1d16e"",""viewport"":{""width"":1658,""height"":1103},""started_at"":""2020-08-06T23:47:42.169Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:78.0) Gecko/20100101 Firefox/78.0"",""utc_offset"":""25200"",""finished_at"":""2020-08-06T23:47:46.117Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":576,""clientHeight"":432,""naturalWidth"":576,""naturalHeight"":432}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-08-06T23:47:42.068Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""36174""}","[{""task"":""T0"",""task_label"":""Does this look like a skewed dip?"",""value"":""No""}]","{""48807791"":{""retired"":null,""ps1_id"":174230398317132003}}",48807791
